"QKEY","INTERVIEW_START_W55","INTERVIEW_END_W55","LANG_W55","DEVICE_TYPE_W55","FORM_W55","ENV2_a_W55","ENV2_b_W55","ENV2_c_W55","ENV2_d_W55","ENV2_e_W55","ENV2_f_W55","EN1F1_W55","ENV4_W55","EN1F2_W55","ENV5_a_W55","ENV5_b_W55","ENV5_c_W55","ENV5_d_W55","ENV17_W55","EN6F1_a_W55","EN6F1_b_W55","EN6F1_c_W55","EN6F1_d_W55","EN6F1_e_W55","EN6F1count_W55","EN6F2_a_W55","EN6F2_b_W55","EN6F2_c_W55","EN6F2_d_W55","EN6F2_e_W55","ENVIR8_a_W55","ENVIR8_b_W55","ENVIR8_c_W55","ENVIR8_d_W55","ENVIR8_e_W55","EN7_W55","EN8_W55","CLIM5_W55","CLIM6_W55","CLIM9F1_a_W55","CLIM9F1_b_W55","CLIM9F2_W55","CLIM10_a_W55","CLIM10_b_W55","CLIM10_c_W55","CLIM10_d_W55","CLIM10_e_W55","CLIM10_f_W55","CLIM10_g_W55","VAC1A_W55","VAC1B_W55","BIO33_a_W55","BIO33_b_W55","BIO34_W55","BIO35_W55","GM1_W55","GM2_W55","GM3_W55","FUD32_W55","FUD33A_W55","FUD33B_W55","FUD37_a_W55","FUD37_b_W55","FUD37_c_W55","FUD37_d_W55","PERS1_W55","PERS2_W55","PERS3_W55","PERS4_W55","PERS5_W55","PERS6_W55","PERS7_W55","PERS8_W55","PERS9_W55","PERS10_W55","PERS11_W55","PERS12_W55","SATIS_W55","EMTREP_a_W55","EMTREP_b_W55","EMTREP_c_W55","EMTREP_d_W55","EMTDEM_a_W55","EMTDEM_b_W55","EMTDEM_c_W55","EMTDEM_d_W55","IMPEACHEARD_W55","IMPEACHAPP_W55","IMPEACHREM_W55","IMPCONFREP_W55","IMPCONFDEM_W55","IMPKNOW_W55","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHN","F_NATIVITY","F_CITIZEN","F_MARITAL","F_RELIG","F_BORN","F_ATTEND","F_RELCOM3CAT","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","IMPEACHT_W53","WEIGHT_W53_W55","WEIGHT_W55"
102932,2019-10-05 16:55:00,2019-10-05 17:17:00,1,2,1,2,1,2,1,2,1,1,2,NA,1,1,2,1,1,1,1,1,1,1,5,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,3,3,1,2,NA,1,1,1,1,1,1,1,4,1,NA,NA,1,2,3,3,1,NA,NA,NA,4,2,1,2,5,99,1,3,1,1,5,5,5,3,2,2,2,1,1,2,2,1,2,1,1,1,1,1,3,1,2,2,3,7,4,1,1,6,2,1,1,1,1,1,12,NA,6,3,2,NA,2,9,1,1,5,1,1,1,0.12711837316822,0.132610437690087
103060,2019-10-04 01:34:00,2019-10-04 01:56:59,1,3,2,2,2,2,1,2,1,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,1,1,1,1,2,2,2,2,2,1,1,2,1,NA,NA,1,1,1,1,1,1,1,2,NA,NA,5,1,1,2,NA,NA,NA,2,2,NA,1,3,1,1,5,5,3,4,5,4,5,4,2,4,4,3,2,1,1,2,2,1,2,1,2,1,1,1,4,1,2,1,3,5,4,2,2,4,2,1,1,1,1,1,1,2,6,2,2,NA,2,6,2,1,3,1,1,4,0.503648553224371,0.473471038483353
103538,2019-10-05 19:49:59,2019-10-05 20:10:00,1,1,1,1,1,1,2,1,2,2,3,NA,NA,NA,NA,NA,1,2,1,1,1,1,4,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,2,1,1,1,NA,NA,NA,2,3,3,2,4,4,3,2,2,4,4,3,4,2,3,3,1,1,2,2,2,1,2,1,2,1,1,1,4,2,2,1,4,8,3,1,1,5,2,1,1,1,1,1,2,2,4,2,3,2,2,9,1,1,3,1,2,1,0.471588167878321,0.500426535568466
104210,2019-10-07 16:25:00,2019-10-07 16:30:00,1,3,1,2,2,2,1,2,1,1,1,NA,1,1,1,1,2,2,1,1,1,2,3,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,1,1,1,1,NA,2,1,1,1,1,1,2,3,1,NA,NA,1,2,3,3,3,NA,NA,NA,3,2,1,3,3,3,3,3,3,2,2,3,2,2,2,4,2,1,1,2,2,1,2,1,2,2,1,1,4,1,2,1,1,2,2,2,3,2,2,1,1,1,1,6,12,NA,5,2,4,2,2,2,3,1,5,1,2,1,0.545588567866727,0.531171937804273
104368,2019-10-05 01:42:59,2019-10-05 02:29:00,1,1,2,1,1,2,1,1,1,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,3,2,2,2,2,2,3,3,2,2,1,2,3,1,NA,NA,2,1,1,1,1,1,1,1,NA,NA,5,1,1,2,NA,NA,NA,1,3,NA,1,4,4,1,4,5,1,1,2,5,1,5,1,1,5,5,2,1,1,2,2,2,1,2,2,1,1,3,4,4,2,1,3,7,4,1,3,2,2,1,1,1,1,5,1,1,1,1,3,1,1,3,3,1,3,1,1,3,0.542504058861817,0.574496504990557
104491,2019-10-05 03:02:00,2019-10-05 03:18:00,1,1,1,2,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,2,1,1,1,1,1,5,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,3,3,NA,NA,1,2,2,2,2,NA,NA,NA,2,2,2,2,4,1,3,4,5,2,5,3,3,3,1,1,2,1,1,2,2,2,2,1,1,1,1,1,4,1,2,1,4,9,4,2,2,3,2,1,1,4,1,1,12,NA,6,3,2,NA,2,5,2,1,5,1,2,1,0.672755440028679,0.635380958619441
104689,2019-10-07 01:44:00,2019-10-07 01:55:00,1,3,2,1,1,2,1,1,1,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,1,1,1,1,2,2,2,2,2,2,1,1,1,NA,NA,2,1,1,1,1,1,1,1,NA,NA,5,2,1,2,NA,NA,NA,1,1,NA,3,3,3,3,3,2,3,3,3,3,4,2,2,4,4,3,2,1,1,2,2,2,2,1,1,1,1,1,3,1,1,2,2,3,3,2,3,2,2,1,1,1,1,5,1,2,2,1,2,NA,2,4,2,1,3,1,1,1,0.12711837316822,0.155263421869478
104727,2019-10-06 12:49:00,2019-10-06 13:03:00,1,1,1,2,2,2,1,2,1,1,1,NA,1,1,1,1,2,1,1,1,1,1,5,NA,NA,NA,NA,NA,2,2,2,3,2,2,2,1,1,1,1,NA,1,1,1,1,1,1,1,2,2,NA,NA,1,2,1,2,1,NA,NA,NA,3,2,2,3,2,4,2,4,2,2,3,2,3,2,3,3,1,2,2,1,1,1,1,2,2,1,2,4,1,4,3,2,2,3,3,1,3,2,2,1,1,1,1,1,2,2,5,3,1,NA,1,7,1,1,2,1,2,4,1.18386640567694,1.14568278690439
104937,2019-10-07 16:15:00,2019-10-07 16:26:00,1,1,1,2,1,2,1,2,1,1,3,NA,NA,NA,NA,NA,2,1,1,1,1,1,5,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,1,1,1,1,NA,1,1,1,1,1,1,2,3,1,NA,NA,1,2,1,3,1,NA,NA,NA,3,3,3,2,4,2,3,2,4,4,2,2,5,2,4,1,2,1,1,2,2,1,1,2,2,1,1,1,4,1,2,1,3,5,4,1,1,6,2,1,1,1,1,3,12,NA,6,3,2,NA,2,8,1,1,3,1,2,2,0.205077324895797,0.206269063433667
106444,2019-10-04 02:24:00,2019-10-04 02:33:00,1,3,1,2,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,1,1,1,2,NA,2,2,1,1,2,1,2,3,1,NA,NA,1,2,1,3,1,NA,NA,NA,1,3,2,1,2,2,1,3,4,2,4,2,2,3,1,2,2,1,1,2,2,1,2,1,1,1,1,1,4,2,2,1,1,2,4,2,1,5,2,1,1,1,1,1,2,2,5,2,2,NA,2,8,1,1,4,1,2,2,0.715369996359711,0.672650958106243
106885,2019-10-03 21:35:59,2019-10-03 21:52:00,1,3,1,1,1,1,1,2,1,99,2,NA,1,1,2,1,99,2,2,2,1,1,2,NA,NA,NA,NA,NA,3,2,1,3,1,2,99,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,2,1,99,2,NA,NA,NA,1,1,2,1,99,99,5,4,5,5,3,4,4,4,4,5,2,1,2,1,2,1,1,2,2,1,2,3,1,4,99,1,4,9,4,2,1,5,1,5,3,1,1,1,2,2,1,1,1,NA,1,8,1,1,1,1,1,4,0.268147884930432,0.254669268087781
106960,2019-10-05 21:02:00,2019-10-05 21:16:00,1,1,2,2,1,2,1,2,99,NA,99,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,1,99,1,1,2,2,2,2,2,1,3,1,99,NA,NA,2,1,1,2,2,2,2,2,NA,NA,3,1,1,2,NA,NA,NA,2,8,2,3,99,99,99,2,3,2,3,4,3,3,4,2,3,4,3,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,3,4,2,2,3,2,1,1,1,1,1,2,2,2,1,2,NA,2,5,2,2,3,1,1,1,0.618178871742746,0.527453230689463
107023,2019-10-08 10:39:00,2019-10-09 01:20:00,1,1,1,2,2,2,1,1,1,1,1,NA,1,1,1,1,2,2,2,1,2,1,2,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,2,3,2,2,NA,NA,NA,3,2,2,2,3,5,1,2,1,5,2,3,2,2,2,4,2,1,1,2,2,1,2,1,1,1,1,1,4,1,2,1,3,5,3,2,2,4,2,2,2,1,1,6,1,1,1,2,2,NA,2,3,3,1,4,1,1,1,0.269809209912003,0.24899908971768
107329,2019-10-03 22:04:59,2019-10-03 22:17:00,1,3,1,2,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,2,1,1,2,1,1,4,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,1,1,1,2,NA,2,2,2,1,2,2,2,3,1,NA,NA,1,2,2,2,2,NA,NA,NA,4,1,2,4,5,2,3,4,1,3,1,3,4,2,1,4,2,1,1,2,2,2,2,1,1,1,1,1,4,1,2,1,1,2,3,2,1,6,2,2,2,1,1,6,2,2,5,3,2,NA,2,4,2,1,5,1,2,1,0.329510191960825,0.323234951416462
107612,2019-10-10 05:11:00,2019-10-10 05:24:00,1,3,1,1,2,1,1,99,1,1,3,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,3,3,1,1,NA,1,2,1,1,1,1,2,3,2,NA,NA,1,2,2,3,2,NA,NA,NA,3,2,2,1,3,5,5,5,5,3,5,5,99,5,3,5,2,1,1,2,2,2,2,1,1,2,1,1,4,1,1,1,3,5,4,2,2,3,2,2,2,1,1,3,1,2,4,2,2,NA,2,6,2,1,4,1,1,1,0.420422920130785,0.372026768414246
108035,2019-10-05 12:00:00,2019-10-05 12:11:00,1,3,2,1,1,1,2,1,2,NA,1,2,2,2,2,1,3,NA,NA,NA,NA,NA,0,3,2,3,2,1,1,1,1,1,1,3,1,2,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,NA,NA,NA,2,3,NA,1,4,4,1,5,5,4,2,1,4,4,2,4,4,2,3,2,1,2,1,1,1,1,2,2,2,2,4,2,4,2,1,4,8,3,1,3,1,2,1,1,1,1,1,1,2,3,2,1,NA,1,8,1,1,1,1,1,4,0.643967275166269,0.635033929127713
108169,2019-10-08 01:16:00,2019-10-08 01:21:59,1,1,2,2,1,2,1,2,1,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,3,1,2,2,2,2,2,2,2,2,1,2,3,1,NA,NA,1,1,1,1,2,1,2,2,NA,NA,3,2,1,1,NA,NA,NA,2,2,NA,2,3,1,2,3,1,1,4,3,3,2,4,5,5,2,5,2,1,1,2,2,1,2,1,1,1,1,1,4,2,2,1,2,3,2,2,1,6,2,1,1,1,1,1,10,NA,6,3,2,NA,2,6,2,1,4,1,1,1,0.349310171046114,0.366346366137506
108447,2019-10-05 01:06:59,2019-10-05 01:24:00,1,3,1,1,99,99,1,99,99,1,3,NA,NA,NA,NA,NA,2,1,1,1,1,1,5,NA,NA,NA,NA,NA,99,99,2,99,2,2,1,1,1,2,2,NA,1,1,1,1,2,1,2,3,1,NA,NA,1,2,2,3,3,NA,NA,NA,2,3,2,2,2,1,3,3,2,4,4,2,4,99,2,3,2,1,2,1,1,1,1,2,2,1,2,4,1,4,2,1,3,5,4,2,1,5,2,1,1,1,1,3,1,2,4,2,1,NA,1,5,2,1,2,1,2,4,0.681339218889857,0.6599381393018
108592,2019-10-04 02:13:00,2019-10-04 02:25:00,1,3,1,1,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,1,1,1,1,2,1,4,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,1,1,1,1,NA,1,1,1,1,2,1,1,3,1,NA,NA,1,2,1,1,3,NA,NA,NA,3,2,2,1,3,5,3,2,4,2,1,3,3,2,3,4,2,1,1,2,2,2,2,1,1,1,1,1,4,1,2,1,2,3,4,2,2,4,2,2,2,1,1,3,1,2,1,1,2,NA,2,4,2,1,3,1,1,1,0.38025671352026,0.344098514139496
109143,2019-10-03 22:28:59,2019-10-04 02:05:00,1,3,1,1,2,2,1,1,1,1,3,NA,NA,NA,NA,NA,2,2,1,1,2,1,3,NA,NA,NA,NA,NA,3,3,2,3,2,1,2,2,1,2,2,NA,2,1,1,1,2,2,2,4,1,NA,NA,1,2,3,3,3,NA,NA,NA,2,2,2,2,1,1,3,4,1,4,2,5,3,2,2,2,1,2,2,1,1,1,2,2,2,2,2,4,3,4,3,1,3,5,2,2,3,2,2,1,1,1,1,1,1,2,5,2,1,NA,1,6,2,1,2,1,1,4,0.416183681651701,0.439981497203602
110041,2019-10-05 00:26:59,2019-10-05 00:48:00,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,4,2,2,1,2,2,1,NA,NA,NA,NA,NA,3,3,3,3,1,3,1,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,2,2,3,1,NA,NA,NA,3,4,3,3,2,4,3,3,2,2,2,3,4,3,2,2,1,1,1,2,2,1,1,2,2,1,2,4,2,4,2,1,3,5,4,1,1,6,2,1,1,1,1,1,2,2,5,3,1,NA,1,8,1,1,2,1,2,4,0.500202381280767,0.519113856133761
110361,2019-10-06 01:39:00,2019-10-06 01:51:00,1,1,2,2,1,2,1,2,1,NA,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,2,2,1,1,2,2,2,2,2,2,1,2,3,1,NA,NA,2,1,1,1,1,1,1,1,NA,NA,4,2,1,2,NA,NA,NA,1,3,NA,2,3,1,2,4,3,2,4,3,3,2,3,4,4,3,4,2,1,1,2,2,1,2,1,2,1,1,1,4,2,2,1,3,5,4,1,1,5,2,1,1,4,1,1,10,NA,5,3,3,2,2,8,1,1,4,1,1,1,0.22497688390394,0.243574913189156
111665,2019-10-06 01:19:00,2019-10-06 01:32:00,1,1,2,2,1,2,1,2,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,2,1,1,1,1,2,2,2,2,2,1,3,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,5,1,1,2,NA,NA,NA,1,3,NA,1,3,3,1,4,5,4,4,2,1,1,4,5,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,4,1,2,1,4,9,3,2,2,4,1,5,3,1,1,1,2,2,4,2,2,NA,2,7,1,1,3,0,2,1,1.63170636055101,1.55481278944827
111884,2019-10-05 17:17:00,2019-10-05 17:38:00,1,1,2,2,2,2,1,2,1,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,1,2,1,2,2,2,2,2,2,1,1,1,1,NA,NA,2,2,1,2,2,2,2,2,NA,NA,5,1,1,2,NA,NA,NA,1,2,NA,3,1,1,4,4,5,2,2,3,4,5,4,4,3,4,5,2,1,1,2,2,2,2,1,1,1,1,1,4,1,2,1,3,6,4,1,1,6,2,2,2,1,1,1,1,2,2,1,2,NA,2,8,1,1,5,1,1,1,0.175023289078683,0.184863402804746
111927,2019-10-06 12:53:00,2019-10-06 13:13:00,1,1,2,1,2,2,1,2,1,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,0,3,1,2,1,1,2,2,2,2,3,2,2,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,NA,NA,NA,3,3,NA,4,1,1,4,3,2,2,4,3,3,4,4,3,3,2,3,1,2,2,1,1,1,1,2,2,2,2,4,2,4,3,1,2,3,4,2,3,2,2,1,1,1,1,5,12,NA,4,2,4,99,9,1,3,1,3,0,2,4,0.58379900905741,0.611182686020621
112238,2019-10-04 16:25:00,2019-10-04 17:20:59,1,3,1,1,1,2,1,1,1,1,3,NA,NA,NA,NA,NA,2,2,2,1,2,1,2,NA,NA,NA,NA,NA,2,2,99,2,3,2,2,3,1,2,2,NA,1,1,1,1,1,1,1,3,1,NA,NA,1,2,1,1,3,NA,NA,NA,3,2,2,2,3,2,3,3,3,3,1,5,2,3,3,2,2,2,2,1,1,1,1,2,2,1,2,4,2,4,2,1,4,8,3,2,3,2,2,1,1,1,1,2,12,NA,5,2,3,1,1,5,2,1,3,1,2,4,0.685891119945861,0.719661706265244
112371,2019-10-04 00:40:00,2019-10-04 01:17:00,1,3,1,1,1,1,2,1,2,2,1,NA,2,2,2,2,2,1,1,1,1,2,4,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,2,3,2,2,NA,NA,NA,2,3,2,2,3,1,3,5,3,1,2,1,1,3,3,3,2,2,1,2,2,1,1,2,2,1,2,4,1,4,2,1,1,2,3,2,1,5,1,1,3,1,1,1,2,2,4,2,3,1,1,6,2,1,2,1,2,4,0.44477332032958,0.408497483284347
112490,2019-10-07 20:16:00,2019-10-07 20:55:00,1,3,1,2,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,2,1,2,1,2,1,3,NA,NA,NA,NA,NA,2,2,2,3,2,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,2,1,1,1,NA,NA,NA,2,4,3,2,3,3,3,3,3,3,5,4,3,3,3,4,2,1,1,2,2,1,2,1,1,1,1,1,3,2,1,2,2,4,3,2,2,4,2,1,1,1,1,1,2,2,4,2,2,NA,2,6,2,1,3,1,1,1,0.201879600604756,0.189580940348955
